user_id,session_duration_mean,session_duration_std,session_duration_min,session_duration_max,session_duration_sum,screens_viewed_mean,screens_viewed_sum,screens_viewed_max,screens_viewed_std,app_opens_mean,app_opens_sum,app_opens_max,app_opens_std,retention_rate_mean,retention_rate_min,retention_rate_max,retention_rate_std,daily_active_users_mean,daily_active_users_std,churned,total_active_days,device_type,user_acquisition_channel,user_segment,churn_probability,risk_level
user_fff0f842,145.35893416416405,83.32391477480165,39.14,413.8168695085321,5232.921629909906,75.44444444444444,2716,252,43.75610614984868,1.0,36,1,0.0,24.250555555555554,20.25,30.15,3.138968842920458,2417.6666666666665,311.38079581117387,1,36,Android,organic,power_users,1.0,High Risk
user_00133a5c,130.4482411288731,53.24085501006265,18.99,253.77,6000.619091928162,67.3695652173913,3099,128,27.4415408505282,1.0,46,1,0.0,25.01,20.45,31.09,3.463206606600306,2446.4347826086955,324.1186101259101,1,46,iOS,direct,power_users,1.0,High Risk
user_0019cc4c,34.37809523809524,23.634314802643978,6.13,100.67,721.94,17.761904761904763,373,54,12.328441758408733,1.0,21,1,0.0,24.593809523809526,20.63,30.15,3.3998286371381665,2448.9523809523807,336.1253451006746,1,21,Android,paid_social,regular_users,1.0,High Risk
user_001b7b4d,40.45615384615385,19.929978640615364,10.88,93.92,1051.8600000000001,21.73076923076923,565,50,10.038157967705798,1.0,26,1,0.0,24.758076923076924,20.25,31.03,3.38589074747638,2410.8846153846152,323.39651537059916,1,26,Android,paid_search,regular_users,1.0,High Risk
user_0022e396,34.35071428571429,18.593422105798485,5.63,72.93,480.91,18.142857142857142,254,39,9.937165226927283,1.0,14,1,0.0,24.764999999999997,20.45,31.03,3.657407131162311,2426.9285714285716,338.13367049271966,1,14,iOS,paid_search,regular_users,1.0,High Risk
user_00243d23,39.83866666666666,18.29218172829453,10.12,85.69999999999999,597.5799999999999,20.866666666666667,313,43,9.44810386620864,1.0,15,1,0.0,24.833333333333332,20.25,31.03,3.640925444888716,2428.9333333333334,331.1826139904143,1,15,Android,paid_search,regular_users,1.0,High Risk
user_ff995392,147.19822712582956,76.3670829550461,34.08,473.3585866490568,4268.748586649057,73.37931034482759,2128,168,28.619940342734377,1.0,29,1,0.0,25.450689655172415,20.45,31.09,3.669540581437646,2468.4827586206898,334.5338569978119,1,29,iOS,referral,power_users,1.0,High Risk
user_ff992f02,175.3295434434144,166.4960765773416,36.46,1015.6931692756564,7188.51128117999,83.14634146341463,3409,378,57.96057322681072,1.0,41,1,0.0,24.76073170731707,20.25,31.03,3.2757544094787563,2422.2926829268295,305.4158839928303,1,41,Android,email,power_users,1.0,High Risk
user_ff8f1d36,8.842727272727272,4.658261673433752,2.98,18.34,97.27,5.7272727272727275,63,10,2.5334130768948477,1.0,11,1,0.0,23.54,20.25,30.15,2.9177319959173764,2340.090909090909,294.94319946235566,1,11,iOS,paid_social,casual_users,1.0,High Risk
user_ff7f48e6,10.111428571428572,7.525909970171108,1.39,29.92,141.56,5.714285714285714,80,17,4.065399430249446,1.0,14,1,0.0,23.782857142857143,20.25,31.09,3.835519077440052,2318.4285714285716,331.75378133273995,1,14,Android,paid_social,casual_users,1.0,High Risk
user_ff7024e3,163.83993626511796,82.7135936344979,52.93,470.1703402163568,5242.877960483775,80.15625,2565,192,32.726736997692406,1.0,32,1,0.0,23.94125,20.25,30.15,3.0453642718707883,2392.03125,305.47736143088287,1,32,Android,organic,power_users,1.0,High Risk
user_ff5dc13f,107.27526315789474,51.06646685866275,11.24,196.94,2038.23,54.8421052631579,1042,101,26.73379708220941,1.0,19,1,0.0,25.49684210526316,21.33,30.83,3.483823016029596,2510.4736842105262,313.4590826427399,1,19,Android,paid_social,power_users,1.0,High Risk
user_ff52cbe1,137.24066581618018,67.70904898295467,16.75,345.58664540450485,3431.0166454045047,73.2,1830,198,38.14773912042495,1.0,25,1,0.0,25.5552,20.63,31.03,3.4980507905594136,2489.64,338.59216864343847,1,25,Android,paid_search,power_users,1.0,High Risk
user_ff2a8f5f,30.689999999999998,15.402051469647937,3.62,60.2,613.8,16.4,328,32,7.989466749875639,1.0,20,1,0.0,24.943,21.33,30.75,3.4199201283378717,2464.7,330.025214347727,1,20,Android,organic,regular_users,1.0,High Risk
user_ff27c11b,163.94023653909733,114.38721204607424,32.01,685.9344630464462,6721.549698102991,83.09756097560975,3407,336,55.94140008886477,1.0,41,1,0.0,24.82951219512195,20.25,31.09,3.394361465150338,2426.2926829268295,321.7313509671103,1,41,iOS,paid_social,power_users,1.0,High Risk
user_ff26ebbb,5.813333333333333,3.297772985920448,1.44,10.26,34.879999999999995,4.0,24,7,2.0976176963403033,1.0,6,1,0.0,24.958333333333332,21.33,31.09,3.6621764931071628,2417.1666666666665,337.4109759131535,1,6,Android,email,casual_users,1.0,High Risk
user_ff268aff,40.47380952380953,24.368684715468433,5.71,109.04,849.95,22.38095238095238,470,58,12.44779575055837,1.0,21,1,0.0,24.964285714285715,20.45,30.83,3.7252578050768124,2453.4761904761904,361.160714786038,1,21,iOS,app_store,regular_users,1.0,High Risk
user_014cd5f2,32.64526315789474,17.52094536021928,8.97,65.71,620.26,17.57894736842105,334,34,10.134187406297798,1.0,19,1,0.0,25.94,21.63,31.03,3.574489862592672,2540.0526315789475,329.52296727984265,1,19,Android,email,regular_users,1.0,High Risk
user_01486a24,140.00549037441525,92.36369616623107,18.770000000000003,511.7504387383899,7140.280009095177,69.58823529411765,3549,201,36.72284110500615,1.0,51,1,0.0,24.870980392156863,20.25,31.09,3.379948671149878,2433.1960784313724,318.8099759799147,1,51,iOS,organic,power_users,1.0,High Risk
